IL17A				
SMAD3				
MYC				
STAT3				
BMP7				
CCR7				
SELL				
CXCL2				
IL1R1				
LTA				
CCL25				
IL17RA				
MICA				
HLA-B				
TNF				
IL12B				
NFKB1				
JAK3				
PLCG1				
JAK2				
IL23A				
IL23R				
ERAP1				
RUNX3				
FOS				
JUN				
JUNB				
GZMK				
CD8A				
CD160				
GZMB				
NKG7				
CD19				
CD68				
S100A12				
CD83				
CX3CR1				
CEBPA				
JUND				
CEBPG				
FOSL1				
TBX21				
RELA				
PRDM1				
TLR4				
EGFR				
SOD2				
VCAM1				
CTSB				
TNFRSF1A				
CD63				
RPS26				
JDP2				
YWHAB				
IL21				
IL1A				
EZH2				
RORC				
KDM5B				
PGD				
ACKR2				
FOXP3				
S100A9				
CXCL8				
CXCR2				
CCR6				
PDCD1				
MAF				
IFNG				
IL17F				
IL22				
CTSK				
ACP5				
CD4				
CD80				
CD86				
TRAF3IP2				
AHR				
SGK1				
SOX4				
KIR3DL1				
IL33				
CSF2				
IL1B				
GJB2				
ACP7				
TGFA				
SLC7A5				
FUT2				
UTP11				
ADIPOQ				
HIF1A				
IL6R				
IFNGR1				
PPARG				
GAPDH				
TNFAIP3				
CCL3				
IL18				
RIT1				
BGLAP				
IL10				
PTGS1				
ITGAX				
NPEPPS				
ITGAM				
SOST				
DKK1				
TNFSF11				
SPP1				
IFNLR1				
STAT1				
CD40				
RSAD2				
IL15				
MMP9				
NAMPT				
VEGFA				
IL37				
CRP				
PTPN22				
IL6				
S100A8				
MMP3				
PTX3				
LEP				
TNFSF15				
IRAK1				
TLR9				
MIR146A				
PSMD7				
TLR2				
PTGS2				
ICAM1				
IL7				
TNFRSF10A				
RETN				
IL2				
IL4				
IL5				
CCRL2				
EGF				
ALB				
NOD2				
GPT				
IL13				
CD28				
PRTN3				
MMP1				
IFNA1				
INS				
ACE				
IL1RN				
CD40LG				
TNFRSF1B				
EDNRA				
PTH				
TYK2				
NOS2				
FCGR2A				
SERPINE1				
TGFB1				
TRAF5				
TRAF2				
AREG				
BRAF				
PHEX				
KIR3DL2				
SYT1				
COL1A1				
FCGR3A				
RUNX2				
SOCS1				
MEFV				
RPS6KB1				
TNIP1				
TRAF4				
BMP2				
MCAM				
HHAT				
IRS1				
GATA3				
IL1F10				
HSPA5				
IFIH1				
RBM45				
TNFSF10				
GEM				
CD38				
CUX1			 	
WNK1				
AQP1				
SAA1				
ITGAL				
DLAT				
CYP1A1				
TIMP1				
PRF1				
ERN1				
SEC14L2				
UQCR10				
MIR21				
CAST				
PDLIM7				
VDR				
UBE2L3				
CREM				
PPARGC1B				
MBL2				
ADGRL2				
LINC01185				
TRBV20OR9-2				
SERPINA1				
HLA-A				
HLA-C				
HLA-DRB1				
KIR2DS1				
IL36RN				
MT-CO2 / COX2				
RPS19				
CD3E				
TYMP				
SF3B1				
SMARCA4				
RPL15				
SH3BGRL3				
PLA2G4D				
BNIP3L				
ERP44				
MSN				
IFI16				
SPCS3				
PSMC2				
CCND3				
MCL1				
MTHFR				
TMBIM6				
SAMD9				
MIX23				
SF3B3				
CCR2				
PFKL				
YOD1				
CYCS				
CD52				
CASP10				
CD36				
ZC3H12A				
ZFP36				
WDR1				
MX1				
SIAH1				
ZNF316				
TPT1				
NT5C3A				
ATOX1				
TALDO1				
RAC1				
RPL36AL				
NMI				
ARHGEF3				
DNAJA2				
PPARD				
TPST2				
LILRB2				
SSR1				
AKAP13				
RPS21				
RPL7				
XAF1				
VIM				
TRIM69				
SERPINB1				
RPS7				
CSNK1A1				
GLUL				
PYGL				
NCOA7				
EIF5B				
MRPS23				
CDC42BPB				
CXCL16				
GOLIM4				
NDUFS1				
ENO1				
DNAJB6				
SMOX				
TOMM5				
HK2				
GBP5				
CCL2				
CASP1				
PIK3CD				
PGK1				
LAMP1				
LAMP2				
ATG5				
NLRP3				
PINK1				
XBP1				
SEC24B				
CD14				
CARD9				
GPR35				
ADCY7				
ATG16L1				
CRB1				
CTLA4				
FNBP1				
TNFAIP6				
TFPI				
IL2RA				
FOSL2				
DYSF				
LILRA5				
STIM1				
ATXN2L				
IGF2				
WWOX				
DUSP4				
DDIT3				
SUOX				
OSMR				
PER1				
ITGA2B				
ANKRD55				
ZMIZ1				
LRRK2				
INS-IGF2				
ERAP2				
FCGR1A				
CMTM2				
CD8B				
BEND2				
IGF2-AS				
LURAP1L				
FAXDC2				
IL21-AS1				
LURAP1L-AS1				
LINC01250				
SCN1A				
ABCB11				
FRZB				
GINS1				
TMPRSS11B				
EOMES				
AIM2				
ICOS				
CCL20				
CLIC3				
SLC7A11				
TEK				
GBP1				
GBP3				
TTC39B				
TNFRSF9				
TGFBR3				
SPON2				
CXCL10				
CXCL13				
SLC2A3				
HYAL4				
CALD1				
OLR1				
CSMD1				
CCND1				FOS
DDX60				
NRG1				
TNFSF13B				
TLR3				
PLS1				
SAR1A				
BTG1				
CCL5				
LMO7				
GZMA				
PSME2				
GJB6				
PLG				
EGR3				
PLIN5				
APOL6				
TMEM45A				
TNFAIP8				
CD274				
IFIT3				
MUCL1				
ZNF483				
TRIM22				
CLEC2B				
S100P				
NABP1				
PSG2				
PI3				
HERC6				
LYZ				
APOL1				
IFI6				
HSPA6				
C15ORF48				
KLRB1				
CYP4F22				
HLA-DQB1				
SLC51B				
NOXRED1				
C7ORF57				
EFCAB13				
HCAR3				
ADAMTS9				
MYNN				
SP7				
SLC1A2				
PFDN4				
FGB				
KANK4				
EFCAB7				
PPARGC1A				
TOMM7				
CSN3				
CLEC4D				
CD69				
MMP7				
CAPS2				
RPL41				
CENPK				
ABCD2				
PFDN5				
ANXA1				
JRKL				
LPAL2				
ZNF415				
RGPD6				
CMAHP				
