Gene_Original	Gene_Query	Status	UniProt_ID	Entry_Name	Curacao	Nome_Proteina	Gene_Primario_UniProt	Sinonimos	Tamanho_aa	Link_UniProt
IL17A	IL17A	Mapeado	Q16552	IL17_HUMAN	Swiss-Prot (Reviewed)	Interleukin-17A	IL17A	CTLA8, IL17	155	https://www.uniprot.org/uniprotkb/Q16552/entry
SMAD3	SMAD3	Mapeado	P84022	SMAD3_HUMAN	Swiss-Prot (Reviewed)	SMAD family member 3	SMAD3	MADH3	425	https://www.uniprot.org/uniprotkb/P84022/entry
MYC	MYC	Mapeado	P01106	MYC_HUMAN	Swiss-Prot (Reviewed)	Myc proto-oncogene protein	MYC	BHLHE39	454	https://www.uniprot.org/uniprotkb/P01106/entry
STAT3	STAT3	Mapeado	P40763	STAT3_HUMAN	Swiss-Prot (Reviewed)	Signal transducer and activator of transcription 3	STAT3	APRF	770	https://www.uniprot.org/uniprotkb/P40763/entry
BMP7	BMP7	Mapeado	P18075	BMP7_HUMAN	Swiss-Prot (Reviewed)	Bone morphogenetic protein 7	BMP7	OP1	431	https://www.uniprot.org/uniprotkb/P18075/entry
CCR7	CCR7	Mapeado	P32248	CCR7_HUMAN	Swiss-Prot (Reviewed)	C-C chemokine receptor type 7	CCR7	CMKBR7, EBI1, EVI1	378	https://www.uniprot.org/uniprotkb/P32248/entry
SELL	SELL	Mapeado	P14151	LYAM1_HUMAN	Swiss-Prot (Reviewed)	L-selectin	SELL	LNHR, LYAM1	372	https://www.uniprot.org/uniprotkb/P14151/entry
CXCL2	CXCL2	Mapeado	P19875	CXCL2_HUMAN	Swiss-Prot (Reviewed)	C-X-C motif chemokine 2	CXCL2	GRO2, GROB, MIP2A, SCYB2	107	https://www.uniprot.org/uniprotkb/P19875/entry
IL1R1	IL1R1	Mapeado	P14778	IL1R1_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 receptor type 1	IL1R1	IL1R, IL1RA, IL1RT1	569	https://www.uniprot.org/uniprotkb/P14778/entry
LTA	LTA	Mapeado	P01374	TNFB_HUMAN	Swiss-Prot (Reviewed)	Lymphotoxin-alpha	LTA	TNFB, TNFSF1	205	https://www.uniprot.org/uniprotkb/P01374/entry
CCL25	CCL25	Mapeado	O15444	CCL25_HUMAN	Swiss-Prot (Reviewed)	C-C motif chemokine 25	CCL25	SCYA25, TECK	150	https://www.uniprot.org/uniprotkb/O15444/entry
IL17RA	IL17RA	Mapeado	Q96F46	I17RA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-17 receptor A	IL17RA	IL17R	866	https://www.uniprot.org/uniprotkb/Q96F46/entry
MICA	MICA	Mapeado	Q29983	MICA_HUMAN	Swiss-Prot (Reviewed)	MHC class I polypeptide-related sequence A	MICA	PERB11.1	383	https://www.uniprot.org/uniprotkb/Q29983/entry
HLA-B	HLA-B	Mapeado	P01889	HLAB_HUMAN	Swiss-Prot (Reviewed)	HLA class I histocompatibility antigen, B alpha chain	HLA-B	HLAB	362	https://www.uniprot.org/uniprotkb/P01889/entry
TNF	TNF	Mapeado	P01375	TNFA_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor	TNF	TNFA, TNFSF2	233	https://www.uniprot.org/uniprotkb/P01375/entry
IL12B	IL12B	Mapeado	P29460	IL12B_HUMAN	Swiss-Prot (Reviewed)	Interleukin-12 subunit beta	IL12B	NKSF2	328	https://www.uniprot.org/uniprotkb/P29460/entry
NFKB1	NFKB1	Mapeado	P19838	NFKB1_HUMAN	Swiss-Prot (Reviewed)	Nuclear factor NF-kappa-B p105 subunit	NFKB1		968	https://www.uniprot.org/uniprotkb/P19838/entry
JAK3	JAK3	Mapeado	P52333	JAK3_HUMAN	Swiss-Prot (Reviewed)	Tyrosine-protein kinase JAK3	JAK3		1124	https://www.uniprot.org/uniprotkb/P52333/entry
